,Company Name,Template Name,PSE Form Number,Announce Date and Time,Circular Number,edge_no,url,disclosure_table,Background/Description of the Disclosure,Subject of the Disclosure
1,Jollibee Foods Corporation,Declaration of Cash Dividends,6-1,2020-04-07 10:16:00,C02610-2020,4b9121b34dd8b8e80de8473cebbd6407,https://edge.pse.com.ph/openDiscViewer.do?edge_no=4b9121b34dd8b8e80de8473cebbd6407,,,
2,Jollibee Foods Corporation,Press Release,4-31,2020-03-20 07:16:00,C02127-2020,a5df62b1a9558fe60de8473cebbd6407,https://edge.pse.com.ph/openDiscViewer.do?edge_no=a5df62b1a9558fe60de8473cebbd6407,,,
3,Jollibee Foods Corporation,Press Release,4-31,2020-03-19 07:31:00,C02092-2020,6a7705d00b3e6fb50de8473cebbd6407,https://edge.pse.com.ph/openDiscViewer.do?edge_no=6a7705d00b3e6fb50de8473cebbd6407,,,
4,Jollibee Foods Corporation,Material Information/Transactions,4-30,2020-03-16 12:49:00,C01925-2020,5b6a51f239ad5a6f0de8473cebbd6407,https://edge.pse.com.ph/openDiscViewer.do?edge_no=5b6a51f239ad5a6f0de8473cebbd6407,,,
5,Jollibee Foods Corporation,[Amend-1]Joint Ventures,4-22,2020-03-13 15:49:00,C01685-2020,21b9a26e7aa00f960de8473cebbd6407,https://edge.pse.com.ph/openDiscViewer.do?edge_no=21b9a26e7aa00f960de8473cebbd6407,,,
6,Jollibee Foods Corporation,Material Information/Transactions,4-30,2020-02-18 15:33:00,C01000-2020,ed56abaed2893f830de8473cebbd6407,https://edge.pse.com.ph/openDiscViewer.do?edge_no=ed56abaed2893f830de8473cebbd6407,,,
7,Jollibee Foods Corporation,Press Release,4-31,2020-02-18 15:26:00,C00999-2020,d01aed5ca14a1ab20de8473cebbd6407,https://edge.pse.com.ph/openDiscViewer.do?edge_no=d01aed5ca14a1ab20de8473cebbd6407,,,
8,Jollibee Foods Corporation,Material Information/Transactions,4-30,2020-02-04 09:34:00,C00671-2020,c7b043ad2301d3b80de8473cebbd6407,https://edge.pse.com.ph/openDiscViewer.do?edge_no=c7b043ad2301d3b80de8473cebbd6407,,,
9,Jollibee Foods Corporation,[Amend-1]Material Information/Transactions,4-30,2020-01-24 07:35:00,C00413-2020,c0cd4dd2f09845320de8473cebbd6407,https://edge.pse.com.ph/openDiscViewer.do?edge_no=c0cd4dd2f09845320de8473cebbd6407,,,
10,Jollibee Foods Corporation,Material Information/Transactions,4-30,2020-01-17 08:17:00,C00297-2020,eaa4f11c19345ddd0de8473cebbd6407,https://edge.pse.com.ph/openDiscViewer.do?edge_no=eaa4f11c19345ddd0de8473cebbd6407,,,
11,Jollibee Foods Corporation,Material Information/Transactions,4-30,2020-01-09 14:03:00,C00142-2020,92218b6c310f9fd50de8473cebbd6407,https://edge.pse.com.ph/openDiscViewer.do?edge_no=92218b6c310f9fd50de8473cebbd6407,,,
12,Jollibee Foods Corporation,Press Release,4-31,2019-11-14 11:38:00,C08058-2019,2125873d082f7255efdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=2125873d082f7255efdfc15ec263a54d,,,
13,Jollibee Foods Corporation,Joint Ventures,4-22,2019-11-14 08:06:00,C08048-2019,ba2a42c295c4952cefdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=ba2a42c295c4952cefdfc15ec263a54d,,,
14,Jollibee Foods Corporation,Declaration of Cash Dividends,6-1,2019-11-11 14:52:00,C07937-2019,dfca1fdb569e514befdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=dfca1fdb569e514befdfc15ec263a54d,,,
15,Jollibee Foods Corporation,Change in Corporate Contact Details and/or Website,4-6,2019-10-07 12:42:00,C06883-2019,82c4db16905317afefdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=82c4db16905317afefdfc15ec263a54d,,,
16,Jollibee Foods Corporation,[Amend-1]Material Information/Transactions,4-30,2019-10-02 15:46:00,C06683-2019,aa8cc394d59aba14efdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=aa8cc394d59aba14efdfc15ec263a54d,,,
17,Jollibee Foods Corporation,[Amend-1]Substantial Acquisitions,5-1,2019-09-24 15:43:00,C06513-2019,5f4a0f8dcc843123efdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=5f4a0f8dcc843123efdfc15ec263a54d,,,
18,Jollibee Foods Corporation,Clarification of News Reports,4-13,2019-09-16 11:10:00,C06341-2019,20e3e1ed5b14f168efdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=20e3e1ed5b14f168efdfc15ec263a54d,,,
19,Jollibee Foods Corporation,[Amend-1]Material Information/Transactions,4-30,2019-09-06 15:50:00,C06179-2019,6ab5515794cf7b3defdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=6ab5515794cf7b3defdfc15ec263a54d,,,
20,Jollibee Foods Corporation,Material Information/Transactions,4-30,2019-09-06 15:17:00,C06175-2019,94ef6f470f799b82efdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=94ef6f470f799b82efdfc15ec263a54d,,,
21,Jollibee Foods Corporation,Press Release,4-31,2019-08-05 15:01:00,C05440-2019,7cfaae46011a1b67efdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=7cfaae46011a1b67efdfc15ec263a54d,,,
22,Jollibee Foods Corporation,Clarification of News Reports,4-13,2019-08-01 09:48:00,C05367-2019,8d6c25f04b2bb6d5efdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=8d6c25f04b2bb6d5efdfc15ec263a54d,,,
23,Jollibee Foods Corporation,Substantial Acquisitions,5-1,2019-07-24 12:21:00,C05148-2019,12c30859590bed87efdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=12c30859590bed87efdfc15ec263a54d,,,
24,Jollibee Foods Corporation,[Amend-1]Joint Ventures,4-22,2019-07-08 07:32:00,C04790-2019,c01c85e143b96676efdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=c01c85e143b96676efdfc15ec263a54d,,,
25,Jollibee Foods Corporation,Clarification of News Reports,4-13,2019-07-01 13:15:00,C04643-2019,da2cab6eef3fb89fefdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=da2cab6eef3fb89fefdfc15ec263a54d,,,
26,Jollibee Foods Corporation,[Amend-1]Results of Annual or Special Stockholders' Meeting,4-24,2019-06-28 15:59:00,C04605-2019,61780d0eac86fb71efdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=61780d0eac86fb71efdfc15ec263a54d,,,
27,Jollibee Foods Corporation,Results of Organizational Meeting of Board of Directors,4-25,2019-06-28 15:14:00,C04596-2019,7b5e22f4bcee5328efdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=7b5e22f4bcee5328efdfc15ec263a54d,,,
28,Jollibee Foods Corporation,Results of Annual or Special Stockholders' Meeting,4-24,2019-06-28 15:11:00,C04595-2019,d02cd4cd4471df10efdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=d02cd4cd4471df10efdfc15ec263a54d,,,
29,Jollibee Foods Corporation,Material Information/Transactions,4-30,2019-06-28 07:41:00,C04536-2019,3dea126ba026c6ffefdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=3dea126ba026c6ffefdfc15ec263a54d,,,
30,Jollibee Foods Corporation,[Amend-2]Notice of Annual or Special Stockholders' Meeting,7-1,2019-05-29 11:41:00,C03719-2019,8a9a820ee365687cefdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=8a9a820ee365687cefdfc15ec263a54d,,,
31,Jollibee Foods Corporation,Press Release,4-31,2019-05-15 14:32:00,C03349-2019,30417e8de0a43977efdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=30417e8de0a43977efdfc15ec263a54d,,,
32,Jollibee Foods Corporation,[Amend-1]Notice of Annual or Special Stockholders' Meeting,7-1,2019-04-22 12:36:00,C02572-2019,0bc1f076905a79eaefdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=0bc1f076905a79eaefdfc15ec263a54d,,,
33,Jollibee Foods Corporation,Material Information/Transactions,4-30,2019-04-11 15:30:00,C02366-2019,c33de75ff644e9afefdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=c33de75ff644e9afefdfc15ec263a54d,,,
34,Jollibee Foods Corporation,Press Release,4-31,2019-04-11 07:58:00,C02329-2019,48a7c6a42a227eabefdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=48a7c6a42a227eabefdfc15ec263a54d,,,
35,Jollibee Foods Corporation,Declaration of Cash Dividends,6-1,2019-04-08 14:08:00,C02269-2019,416629e58e310932efdfc15ec263a54d,https://edge.pse.com.ph/openDiscViewer.do?edge_no=416629e58e310932efdfc15ec263a54d,,,
