dt,close,volume
2018-01-03,255.4,745780
2018-01-04,255.0,617010
2018-01-05,255.0,946040
2018-01-08,256.0,840630
2018-01-09,255.8,978180
2018-01-10,255.4,447710
2018-01-11,255.0,681780
2018-01-12,255.0,1311930
2018-01-15,263.8,1256670
2018-01-16,277.6,1795160
2018-01-17,277.6,1680700
2018-01-18,279.0,1484360
2018-01-19,280.0,560060
2018-01-22,283.0,1001520
2018-01-23,282.2,1179360
2018-01-24,282.0,714160
2018-01-25,293.0,491640
2018-01-26,292.2,375570
2018-01-29,285.4,542160
2018-01-30,284.2,1125860
2018-01-31,284.8,910980
2018-02-01,287.2,512760
2018-02-02,294.0,943050
2018-02-05,282.0,742600
2018-02-06,289.0,1021600
2018-02-07,293.2,582230
2018-02-08,292.8,871390
2018-02-09,292.0,413260
2018-02-12,283.0,741090
2018-02-13,277.0,763250
2018-02-14,278.0,1491080
2018-02-15,285.0,516060
2018-02-19,285.0,492990
2018-02-20,286.0,397190
2018-02-21,282.0,442680
2018-02-22,282.0,602290
2018-02-23,282.0,1269870
2018-02-26,292.0,839100
2018-02-27,295.0,815230
2018-02-28,298.4,1052820
2018-03-01,297.6,663930
2018-03-02,298.0,735080
2018-03-05,299.6,388840
2018-03-06,298.6,833460
2018-03-07,304.0,853340
2018-03-08,295.0,367970
2018-03-09,292.0,352590
2018-03-12,295.4,303520
2018-03-13,293.0,557650
2018-03-14,288.4,757340
2018-03-15,284.0,1140780
2018-03-16,305.4,2052470
2018-03-19,298.0,531280
2018-03-20,286.0,1028940
2018-03-21,285.0,953100
2018-03-22,286.8,573890
2018-03-23,288.0,864870
2018-03-26,295.0,404650
2018-03-27,294.4,356420
2018-03-28,299.0,759390
2018-04-02,300.0,701450
2018-04-03,296.4,1392970
2018-04-04,285.0,1021530
2018-04-05,280.0,497530
2018-04-06,278.0,1301960
2018-04-10,284.0,1189830
2018-04-11,289.6,1197810
2018-04-12,300.0,268920
2018-04-13,292.2,1000070
2018-04-16,291.6,478570
2018-04-17,288.6,1061840
2018-04-18,294.2,496950
2018-04-19,285.0,1653070
2018-04-20,291.0,662390
2018-04-23,294.0,302310
2018-04-24,285.0,891380
2018-04-25,281.6,1202880
2018-04-26,280.0,1333040
2018-04-27,282.0,275720
2018-04-30,285.0,720250
2018-05-02,283.0,439510
2018-05-03,275.0,919090
2018-05-04,275.4,863750
2018-05-07,279.0,790120
2018-05-08,278.0,1470730
2018-05-09,283.0,646300
2018-05-10,279.8,949240
2018-05-11,285.0,366080
