2GO	2GO Group, Inc.
AAA	Asia Amalgamated Holdings Corp.
AB	Atok-Big Wedge Company, Inc.
ABA	AbaCore Capital Holdings, Inc.
ABG	Asiabest Group International, Inc.
ABS	ABS-CBN Corporation
ABSP	ABS-CBN Holdings Corporation "PDR"
AC	Ayala Corporation
ACE	Acesite (Phils.) Hotel Corp.
ACEPH	AC Energy Philippines, Inc.
ACEX	ACE Enexor, Inc.
ACPA	Ayala Corporation Preferred Class "A"
ACR	Alsons Consolidated Resources, Inc.
AEV	Aboitiz Equity Ventures, Inc.
AGI	Alliance Global Group, Inc.
ALCO	Arthaland Corporation
ALCPB	Arthaland Corp. Perpetual Pref "B"
ALHI	Anchor Land Holdings, Inc.
ALI	Ayala Land, Inc.
ALLHC	AyalaLand Logistics Holdings Corp.
ANI	AgriNurture, Inc.
ANS	A. Soriano Corporation
AP	Aboitiz Power Corporation
APC	APC Group, Inc.
APL	Apollo Global Capital, Inc.
APO	Anglo-Philippine Holdings Corporation
APX	Apex Mining Company, Inc.
AR	Abra Mining and Industrial Corp.
ARA	Araneta Properties, Inc.
AT	Atlas Cons. Mining and Dev't Corp.
ATI	Asian Terminals, Inc.
ATN	ATN Holdings, Inc. "A"
ATNB	ATN Holdings, Inc. "B"
AUB	Asia United Bank Corporation
AXLM	Axelum Resources Corp.
BC	Benguet Corporation "A"
BCB	Benguet Corporation "B"
BCOR	Berjaya Philippines, Inc.
BCP	Benguet Corporation Conv. Pref. "A"
BDO	BDO Unibank, Inc.
BEL	Belle Corporation
BH	BHI Holdings, Inc.
BHI	Boulevard Holdings, Inc.
BKR	Bright Kindle Res. and Investments, Inc.
BLFI	BDO Leasing and Finance, Inc.
BLOOM	Bloomberry Resorts Corporation
BMM	Bogo Medellin Milling Company
BPI	Bank of the Philippine Islands
BRN	A Brown Company, Inc.
BSC	Basic Energy Corporation
C	Chelsea Logistics and Infra Hdgs Corp.
CA	Concrete Aggregates Corp. "A"
CAB	Concrete Aggregates Corp. "B"
CAT	Central Azucarera De Tarlac
CDC	Cityland Development Corporation
CEB	Cebu Air, Inc.
CEI	Crown Equities, Inc.
CEU	Centro Escolar University
CHI	Cebu Holdings, Inc.
CHIB	China Banking Corporation
CHP	Cemex Holdings Philippines, Inc.
CIC	Concepcion Industrial Corporation
CIP	Chemical Industries of the Phils.
CLI	Cebu Landmasters, Inc.
CNPF	Century Pacific Food, Inc.
COAL	Coal Asia Holdings, Inc.
COL	COL Financial Group, Inc.
COSCO	Cosco Capital, Inc.
CPG	Century Properties Group, Inc.
CPM	Century Peak Holdings Corporation
CPV	Cebu Property Venture and Dev't Corp."A"
CPVB	Cebu Property Venture and Dev't Corp."B"
CROWN	Crown Asia Chemicals Corporation
CSB	Citystate Savings Bank
CYBR	Cyber Bay Corporation
DAVIN	Da Vinci Capital Holdings, Inc.
DD	DoubleDragon Properties Corp.
DDPR	DoubleDragon Properties Corp. Pref.
DELM	Del Monte Pacific Limited
DFNN	DFNN, Inc.
DITO	DITO CME Holdings Corp.
DIZ	Dizon Copper Silver Mines, Inc.
DMC	DMCI Holdings, Inc.
DMW	D.M. Wenceslao and Associates, Inc.
DNA	Philab Holdings Corp.
DNL	D and L Industries, Inc.
DWC	Discovery World Corporation
EAGLE	Eagle Cement Corporation
ECP	Easycall Comm. Phils., Inc.
EEI	EEI Corporation
EG	IP E-Game Ventures Inc.
ELI	Empire East Land Holdings, Inc.
EMP	Emperador Inc.
EURO	Euro-Med Laboratories Phil., Inc.
EVER	Ever Gotesco Resources and Hold'gs, Inc.
EW	East West Banking Corporation
FAF	First Abacus Financial Holdings Corp.
FB	San Miguel Food and Beverage, Inc.
FBP	San Miguel Food and Beverage Pref
FBP2	San Miguel Food and Beverage Perp Pref 2
FDC	Filinvest Development Corporation
FERRO	Ferronoux Holdings, Inc.
FEU	Far Eastern University, Inc.
FFI	Filipino Fund, Inc.
FGEN	First Gen Corporation
FGENG	First Gen Corporation - Series G Pref.
FJP	F and J Prince Holdings Corp. "A"
FJPB	F and J Prince Holdings Corp. "B"
FLI	Filinvest Land, Inc.
FMETF	First Metro Philippine Equity ETF
FNI	Global Ferronickel Holdings, Inc.
FOOD	Alliance Select Foods Int'l, Inc.
FPH	First Phil. Holdings Corp.
FPI	Forum Pacific, Inc.
FRUIT	Fruitas Holdings, Inc.
GEO	GEOGRACE Resources Philippines, Inc.
GERI	Global-Estate Resorts, Inc.
GLO	Globe Telecom, Inc.
GLOPA	Globe Telecom, Inc - Preferred "A"
GLOPP	Globe Telecom, Inc. - Perpetual Pref.
GMA7	GMA Network, Inc.
GMAP	GMA Holdings, Inc. "PDR"
GPH	Grand Plaza Hotel Corporation
GREEN	Greenergy Holdings, Inc.
GSMI	Ginebra San Miguel Inc.
GTCAP	GT Capital Holdings, Inc.
GTPPA	GT Capital Non-Voting Perpetual Pref "A"
GTPPB	GT Capital Non-Voting Perpetual Pref "B"
HI	House of Investments, Inc.
HLCM	Holcim Philippines, Inc.
HOME	AllHome Corp.
HOUSE	8990 Holdings, Inc.
HVN	Golden Bria Holdings, Inc.
I	I-Remit, Inc.
ICT	Int'l Container Terminal Services, Inc.
IDC	Italpinas Development Corporation
IMI	Integrated Micro-Electronics, Inc.
IMP	Imperial Resources, Inc.
ION	Ionics, Inc.
IPM	IPM Holdings, Inc.
IPO	iPeople, Inc.
IRC	Philippine Infradev Holdings Inc.
IS	Island Information and Technology, Inc.
JAS	Jackstones, Inc.
JFC	Jollibee Foods Corporation
JGS	JG Summit Holdings, Inc.
JOH	Jolliville Holdings Corporation
KEP	Keppel Philippines Properties, Inc.
KPH	Keppel Philippines Holdings, Inc. "A"
KPHB	Keppel Philippines Holdings, Inc. "B"
KPPI	Kepwealth Property Phils., Inc.
LAND	City and Land Developers, Inc.
LBC	LBC Express Holdings, Inc.
LC	Lepanto Consolidated Mining Co. "A"
LCB	Lepanto Consolidated Mining Co. "B"
LFM	Liberty Flour Mills, Inc.
LIHC	Lodestar Investment Hldgs Corp.
LMG	LMG Chemicals Corporation
LOTO	Pacific Online Systems Corporation
LPZ	Lopez Holdings Corporation
LR	Leisure and Resorts World Corporation
LRP	Leisure and Resorts World Corp.-Pref
LRW	Leisure and Resorts World Corp.-Warrants
LSC	Lorenzo Shipping Corporation
LTG	LT Group, Inc.
MA	Manila Mining Corporation "A"
MAB	Manila Mining Corporation "B"
MAC	Macroasia Corporation
MACAY	Macay Holdings, Inc.
MAH	Metro Alliance Hold'gs and Eqts. "A"
MAHB	Metro Alliance Hold'gs and Eqts. "B"
MARC	Marcventures Holdings, Inc.
MAXS	Max's Group, Inc.
MB	Manila Bulletin Publishing Corp.
MBC	Manila Broadcasting Company
MBT	Metropolitan Bank and Trust Company
MED	MEDCO Holdings, Inc.
MEG	Megaworld Corporation
MER	Manila Electric Company
MFC	Manulife Financial Corporation
MFIN	Makati Finance Corporation
MG	Millenium Global Holdings, Inc.
MHC	Mabuhay Holdings Corporation
MJC	Manila Jockey Club, Inc.
MJIC	MJC Investments Corporation
MPI	Metro Pacific Investments Corporation
MRC	MRC Allied, Inc.
MRSGI	Metro Retail Stores Group, Inc.
MVC	Mabuhay Vinyl Corporation
MWC	Manila Water Company, Inc.
MWIDE	Megawide Construction Corporation
MWP	Megawide Const. Corp. - Perpetual Pref.
NI	NiHAO Minerals Resources Int'l, Inc.
NIKL	Nickel Asia Corporation
NOW	Now Corporation
NRCP	National Reinsurance Corp. of the Phils.
OM	Omico Corporation
OPM	Oriental Pet. and Minerals Corp. "A"
OPMB	Oriental Pet. and Minerals Corp. "B"
ORE	Oriental Peninsula Resources Group, Inc.
OV	The Philodrill Corporation
PA	Pacifica Holdings, Inc.
PAL	PAL Holdings Inc.
PAX	Paxys, Inc.
PBB	Philippine Business Bank
PBC	Philippine Bank of Communications
PCOR	Petron Corporation
PERC	Petroenergy Resources Corporation
PGOLD	Puregold Price Club, Inc.
PHA	Premiere Horizon Alliance Corporation
PHES	Phil. Estates Corporation
