Company Name,Stock Symbol,Sector,Subsector,Listing Date,company_id,security_id
"2GO Group, Inc.",2GO,Services,Transportation Services,"May 15, 1995",29,146
"8990 Holdings, Inc.",HOUSE,Property,Property,"Dec 09, 2010",626,563
"A Brown Company, Inc.",BRN,Property,Property,"Feb 08, 1994",13,234
A. Soriano Corporation,ANS,Holding Firms,Holding Firms,"Oct 25, 1973",14,169
ABS-CBN Corporation,ABS,Services,Media,"Jul 08, 1992",114,123
ABS-CBN Holdings Corporation,ABSP,Services,Media,"Oct 07, 1999",15,259
"AC Energy Philippines, Inc.",ACEPH,Industrial,"Electricity, Energy, Power & Water","Jan 05, 1970",233,140
"ACE Enexor, Inc.",ACEX,Mining and Oil,Oil,"Aug 28, 2014",653,599
"APC Group, Inc.",APC,Services,Other Services,"Mar 08, 1994",177,182
"ATN Holdings, Inc.",ATN,Holding Firms,Holding Firms,"Sep 24, 1970",56,176
"AbaCore Capital Holdings, Inc.",ABA,Holding Firms,Holding Firms,"Oct 28, 1987",174,173
"Aboitiz Equity Ventures, Inc.",AEV,Holding Firms,Holding Firms,"Nov 16, 1994",16,183
Aboitiz Power Corporation,AP,Industrial,"Electricity, Energy, Power & Water","Jul 16, 2007",609,532
Abra Mining and Industrial Corporation,AR,Mining and Oil,Mining,"Dec 24, 1969",33,321
Acesite (Phils.) Hotel Corporation,ACE,Services,Hotel & Leisure,"Dec 05, 1986",48,370
"AgriNurture, Inc.",ANI,Industrial,"Food, Beverage & Tobacco","May 25, 2009",619,547
AllHome Corp.,HOME,Services,Retail,"Oct 10, 2019",674,647
"Alliance Global Group, Inc.",AGI,Holding Firms,Holding Firms,"Apr 19, 1999",212,179
"Alliance Select Foods International, Inc.",FOOD,Industrial,"Food, Beverage & Tobacco","Nov 08, 2006",602,524
"Alsons Consolidated Resources, Inc.",ACR,Industrial,"Electricity, Energy, Power & Water","Apr 12, 1993",121,170
"Altus Property Ventures, Inc.",APVI,SME,SME,"Jun 26, 2020",678,654
"Anchor Land Holdings, Inc.",ALHI,Property,Property,"Aug 08, 2007",612,536
Anglo Philippine Holdings Corporation,APO,Holding Firms,Holding Firms,"Jul 31, 1959",52,171
"Apex Mining Co., Inc.",APX,Mining and Oil,Mining,"Mar 07, 1974",178,318
"Apollo Global Capital, Inc.",APL,Services,Information Technology,"Oct 18, 2012",638,581
"Araneta Properties, Inc.",ARA,Property,Property,"Nov 14, 1989",38,294
Arthaland Corporation,ALCO,Property,Property,"Mar 19, 1996",172,316
Asia Amalgamated Holdings Corporation,AAA,Holding Firms,Holding Firms,"Mar 22, 1973",55,347
Asia United Bank Corporation,AUB,Financials,Banks,"May 17, 2013",641,584
Asiabest Group International Inc.,ABG,Holding Firms,Holding Firms,"Jul 10, 1979",176,350
"Asian Terminals, Inc.",ATI,Services,Transportation Services,"Jan 25, 1996",53,141
Atlas Consolidated Mining and Development Corporation,AT,Mining and Oil,Mining,"Nov 17, 1970",34,320
"Atok-Big Wedge Co., Inc.",AB,Mining and Oil,Mining,"Jan 08, 1948",19,181
Axelum Resources Corp.,AXLM,Industrial,"Food, Beverage & Tobacco","Oct 07, 2019",673,646
Ayala Corporation,AC,Holding Firms,Holding Firms,"Nov 08, 1976",57,180
"Ayala Land, Inc.",ALI,Property,Property,"Jul 05, 1991",180,293
AyalaLand Logistics Holdings Corp.,ALLHC,Holding Firms,Holding Firms,"Feb 28, 1990",26,202
"BDO Leasing and Finance, Inc.",BLFI,Financials,Other Financial Institutions,"Jan 06, 1997",31,121
"BDO Unibank, Inc.",BDO,Financials,Banks,"May 21, 2002",260,468
"BHI Holdings, Inc.",BH,Holding Firms,Holding Firms,"Apr 02, 1973",62,358
Bank of the Philippine Islands,BPI,Financials,Banks,"Oct 12, 1971",234,101
Basic Energy Corporation,BSC,Industrial,"Electricity, Energy, Power & Water","Oct 16, 1973",60,188
Belle Corporation,BEL,Property,Property,"Feb 02, 1977",21,252
Benguet Corporation,BC,Mining and Oil,Mining,"Jan 04, 1950",108,353
Berjaya Philippines Inc.,BCOR,Services,Casinos & Gaming,"Nov 29, 1948",9,391
Bloomberry Resorts Corporation,BLOOM,Services,Casinos & Gaming,"Oct 17, 2000",49,233
"Bogo-Medellin Milling Company, Inc.",BMM,Industrial,"Food, Beverage & Tobacco","Nov 16, 1950",181,359
"Boulevard Holdings, Inc.",BHI,Services,Hotel & Leisure,"Apr 28, 1997",63,187
Bright Kindle Resources & Investments Inc.,BKR,Financials,Other Financial Institutions,"Mar 21, 1995",66,116
"COL Financial Group, Inc.",COL,Financials,Other Financial Institutions,"Jul 12, 2006",601,522
"Cebu Air, Inc.",CEB,Services,Transportation Services,"Oct 26, 2010",624,560
"Cebu Holdings, Incorporated",CHI,Property,Property,"Feb 14, 1994",110,298
"Cebu Landmasters, Inc.",CLI,Property,Property,"Jun 02, 2017",668,635
Cebu Property Ventures and Development Corporation,CPV,Property,Property,"Mar 03, 1992",182,296
"Cemex Holdings Philippines, Inc.",CHP,Industrial,"Construction, Infrastructure & Allied Services","Jul 18, 2016",662,625
"Central Azucarera de Tarlac, Inc.",CAT,Industrial,"Food, Beverage & Tobacco","Apr 12, 1977",183,366
Centro Escolar University,CEU,Services,Education,"Nov 10, 1986",223,291
"Century Pacific Food, Inc.",CNPF,Industrial,"Food, Beverage & Tobacco","May 06, 2014",652,597
Century Peak Holdings Corporation,CPM,Mining and Oil,Mining,"Oct 06, 2009",621,549
"Century Properties Group, Inc.",CPG,Property,Property,"Jun 16, 1976",189,219
Chelsea Logistics and Infrastructure Holdings Corp.,C,Services,Transportation Services,"Aug 08, 2017",669,636
"Chemical Industries of the Philippines, Inc.",CIP,Industrial,Chemicals,"Nov 21, 1985",22,367
China Banking Corporation,CHIB,Financials,Banks,"Sep 01, 1927",184,104
Cirtek Holdings Philippines Corporation,TECH,Industrial,Electrical Components & Equipment,"Nov 18, 2011",630,569
"City & Land Developers, Incorporated",LAND,Property,Property,"Dec 13, 1999",209,308
Cityland Development Corporation,CDC,Property,Property,"Aug 02, 1983",39,297
"Citystate Savings Bank, Inc.",CSB,Financials,Banks,"Jan 03, 2002",228,457
Coal Asia Holdings Incorporated,COAL,Mining and Oil,Mining,"Oct 23, 2012",637,580
Concepcion Industrial Corporation,CIC,Industrial,Electrical Components & Equipment,"Nov 27, 2013",648,591
Concrete Aggregates Corporation,CA,Industrial,"Construction, Infra. & Allied Services","Oct 20, 1972",213,361
"Cosco Capital, Inc.",COSCO,Holding Firms,Holding Firms,"Sep 26, 1988",50,178
Crown Asia Chemicals Corporation,CROWN,Industrial,Chemicals,"Apr 27, 2015",657,611
"Crown Equities, Inc.",CEI,Property,Property,"Aug 16, 1994",186,191
Cyber Bay Corporation,CYBR,Property,Property,"Mar 19, 1991",67,295
"D&L Industries, Inc.",DNL,Industrial,"Food, Beverage & Tobacco","Dec 12, 2012",639,582
"D.M. Wenceslao & Associates, Incorporated",DMW,Property,Property,"Jun 29, 2018",671,641
"DFNN, Inc.",DFNN,Services,Information Technology,"Oct 30, 2000",187,125
DITO CME Holdings Corp.,DITO,Services,Information Technology,"Oct 01, 1975",36,324
